hosp_date,age_group,new_hosp
2021-08-30,15-34,395
2021-08-30,35-59,676
2021-08-30,60-79,373
2021-08-30,80+,201
2021-08-31,00-04,84
2021-08-31,00+,3081
2021-08-31,05-14,81
2021-08-31,15-34,616
2021-08-31,35-59,1239
2021-08-31,60-79,702
2021-08-31,80+,359
2021-09-01,00-04,117
2021-09-01,00+,3483
2021-09-01,05-14,65
2021-09-01,15-34,760
2021-09-01,35-59,1386
2021-09-01,60-79,747
2021-09-01,80+,408
2021-09-02,00-04,55
2021-09-02,00+,2554
2021-09-02,05-14,61
2021-09-02,15-34,485
2021-09-02,35-59,1047
2021-09-02,60-79,564
2021-09-02,80+,342
2021-09-03,00-04,84
2021-09-03,00+,3277
2021-09-03,05-14,51
2021-09-03,15-34,663
2021-09-03,35-59,1414
2021-09-03,60-79,683
2021-09-03,80+,382
2021-09-04,00-04,54
2021-09-04,00+,2678
2021-09-04,05-14,49
2021-09-04,15-34,547
2021-09-04,35-59,1043
2021-09-04,60-79,542
2021-09-04,80+,443
2021-09-05,00-04,51
2021-09-05,00+,1974
2021-09-05,05-14,59
2021-09-05,15-34,375
2021-09-05,35-59,763
2021-09-05,60-79,427
2021-09-05,80+,299
2021-09-06,00-04,49
2021-09-06,00+,1645
2021-09-06,05-14,39
2021-09-06,15-34,341
2021-09-06,35-59,587
2021-09-06,60-79,359
2021-09-06,80+,270
2021-09-07,00-04,60
2021-09-07,00+,3135
2021-09-07,05-14,76
2021-09-07,15-34,616
2021-09-07,35-59,1331
2021-09-07,60-79,687
2021-09-07,80+,365
2021-09-08,00-04,103
2021-09-08,00+,3849
2021-09-08,05-14,71
2021-09-08,15-34,805
2021-09-08,35-59,1524
2021-09-08,60-79,843
2021-09-08,80+,503
2021-09-09,00-04,117
2021-09-09,00+,3770
2021-09-09,05-14,100
2021-09-09,15-34,719
2021-09-09,35-59,1367
2021-09-09,60-79,893
2021-09-09,80+,574
2021-09-10,00-04,93
2021-09-10,00+,3220
2021-09-10,05-14,58
2021-09-10,15-34,560
2021-09-10,35-59,1230
2021-09-10,60-79,822
2021-09-10,80+,457
2021-09-11,00-04,81
2021-09-11,00+,3113
2021-09-11,05-14,99
2021-09-11,15-34,603
2021-09-11,35-59,1210
2021-09-11,60-79,658
2021-09-11,80+,462
2021-09-12,00-04,59
2021-09-12,00+,1988
2021-09-12,05-14,49
2021-09-12,15-34,362
2021-09-12,35-59,748
2021-09-12,60-79,472
2021-09-12,80+,298
2021-09-13,00-04,62
2021-09-13,00+,2168
2021-09-13,05-14,63
2021-09-13,15-34,429
2021-09-13,35-59,795
2021-09-13,60-79,473
2021-09-13,80+,346
2021-09-14,00-04,106
2021-09-14,00+,3621
2021-09-14,05-14,71
2021-09-14,15-34,652
2021-09-14,35-59,1377
2021-09-14,60-79,780
2021-09-14,80+,635
2021-09-15,00-04,87
2021-09-15,00+,3865
2021-09-15,05-14,94
2021-09-15,15-34,628
2021-09-15,35-59,1595
2021-09-15,60-79,829
2021-09-15,80+,632
2021-09-16,00-04,89
2021-09-16,00+,3409
2021-09-16,05-14,89
2021-09-16,15-34,626
2021-09-16,35-59,1270
2021-09-16,60-79,744
2021-09-16,80+,591
2021-09-17,00-04,107
2021-09-17,00+,3443
2021-09-17,05-14,68
2021-09-17,15-34,583
2021-09-17,35-59,1338
2021-09-17,60-79,768
2021-09-17,80+,579
2021-09-18,00-04,60
2021-09-18,00+,2986
2021-09-18,05-14,48
2021-09-18,15-34,490
2021-09-18,35-59,1075
2021-09-18,60-79,725
2021-09-18,80+,588
2021-09-19,00-04,57
2021-09-19,00+,2032
2021-09-19,05-14,56
2021-09-19,15-34,346
2021-09-19,35-59,693
2021-09-19,60-79,491
2021-09-19,80+,389
2021-09-20,00-04,57
2021-09-20,00+,1852
2021-09-20,05-14,39
2021-09-20,15-34,326
2021-09-20,35-59,699
2021-09-20,60-79,399
2021-09-20,80+,332
2021-09-21,00-04,84
2021-09-21,00+,3243
2021-09-21,05-14,70
2021-09-21,15-34,535
2021-09-21,35-59,1202
2021-09-21,60-79,731
2021-09-21,80+,621
2021-09-22,00-04,126
2021-09-22,00+,3683
2021-09-22,05-14,64
2021-09-22,15-34,612
2021-09-22,35-59,1377
2021-09-22,60-79,883
2021-09-22,80+,621
2021-09-23,00-04,81
2021-09-23,00+,3042
2021-09-23,05-14,71
2021-09-23,15-34,525
2021-09-23,35-59,1118
2021-09-23,60-79,744
2021-09-23,80+,503
2021-09-24,00-04,70
2021-09-24,00+,3252
2021-09-24,05-14,51
2021-09-24,15-34,527
2021-09-24,35-59,1192
2021-09-24,60-79,844
2021-09-24,80+,568
2021-09-25,00-04,82
2021-09-25,00+,2645
2021-09-25,05-14,42
2021-09-25,15-34,453
2021-09-25,35-59,947
2021-09-25,60-79,686
2021-09-25,80+,435
2021-09-26,00-04,68
2021-09-26,00+,1906
2021-09-26,05-14,36
2021-09-26,15-34,296
2021-09-26,35-59,633
2021-09-26,60-79,478
2021-09-26,80+,395
2021-09-27,00-04,50
2021-09-27,00+,1591
2021-09-27,05-14,55
2021-09-27,15-34,232
2021-09-27,35-59,519
2021-09-27,60-79,416
2021-09-27,80+,319
2021-09-28,00-04,77
2021-09-28,00+,2970
2021-09-28,05-14,64
2021-09-28,15-34,510
2021-09-28,35-59,944
2021-09-28,60-79,819
2021-09-28,80+,556
2021-09-29,00-04,72
2021-09-29,00+,3170
2021-09-29,05-14,97
2021-09-29,15-34,461
2021-09-29,35-59,1054
2021-09-29,60-79,896
2021-09-29,80+,590
2021-09-30,00-04,70
2021-09-30,00+,3200
2021-09-30,05-14,63
2021-09-30,15-34,495
2021-09-30,35-59,1107
2021-09-30,60-79,854
2021-09-30,80+,611
2021-10-01,00-04,64
2021-10-01,00+,3087
2021-10-01,05-14,44
2021-10-01,15-34,431
2021-10-01,35-59,1112
2021-10-01,60-79,783
2021-10-01,80+,653
2021-10-02,00-04,89
2021-10-02,00+,3176
